,x,y
0,130,41
1,129,42
2,128,42
3,127,42
4,126,42
5,125,42
6,124,42
7,123,42
8,122,42
9,121,43
10,120,43
11,119,43
12,118,43
13,117,43
14,116,43
15,115,43
16,114,43
17,113,43
18,112,44
19,111,44
20,110,44
21,109,44
22,108,44
23,107,45
24,106,45
25,105,45
26,104,45
27,103,46
28,102,46
29,101,46
30,100,47
31,99,47
32,98,47
33,97,48
34,96,48
35,95,48
36,94,49
37,93,49
38,92,49
39,91,50
40,90,50
41,89,50
42,88,51
43,87,51
44,86,52
45,85,52
46,84,52
47,83,53
48,82,53
49,81,53
50,80,54
51,79,55
52,78,55
53,77,56
54,76,56
55,75,57
56,74,57
57,73,58
58,72,58
59,71,59
60,70,59
61,69,60
62,68,61
63,67,61
64,66,62
65,65,63
66,64,63
67,63,64
68,62,65
69,61,65
70,60,66
71,59,67
72,58,68
73,57,69
74,56,70
75,55,71
76,54,72
77,54,73
78,53,74
79,52,75
80,51,76
81,50,77
82,50,78
83,49,79
84,49,80
85,48,81
86,47,82
87,47,83
88,46,84
89,46,85
90,45,86
91,45,87
92,45,88
93,44,89
94,44,90
95,44,91
96,45,91
97,46,91
98,47,91
99,48,91
100,49,91
101,50,91
102,51,91
103,52,91
104,53,91
105,54,91
106,55,91
107,56,91
108,57,91
109,58,91
110,59,91
111,60,91
112,61,91
113,62,91
114,63,91
115,64,91
116,65,91
117,66,91
118,67,91
119,68,91
120,69,91
121,70,91
122,71,91
123,72,91
124,73,91
125,74,91
126,75,91
127,76,91
128,77,91
129,78,91
130,79,91
131,80,91
132,81,91
133,82,91
134,83,91
135,84,91
136,85,91
137,86,91
138,87,91
139,88,91
140,89,91
141,90,91
142,91,91
143,92,91
144,93,91
145,94,91
146,95,91
147,96,91
148,97,91
149,98,91
150,99,91
151,100,91
152,101,91
153,102,91
154,103,91
155,104,91
156,105,91
157,106,91
158,107,91
159,108,91
160,109,91
161,110,91
162,111,91
163,112,91
164,113,91
165,114,91
166,115,91
167,116,91
168,117,91
169,118,91
170,119,91
171,120,91
172,121,91
173,122,91
174,123,91
175,124,91
176,125,91
177,126,91
178,127,91
179,128,91
180,129,91
181,130,91
182,131,91
183,132,91
184,133,91
185,134,91
186,135,91
187,136,91
188,137,91
189,138,91
190,139,91
191,140,91
192,141,91
193,142,91
194,143,91
195,144,91
196,145,91
197,146,91
198,147,91
199,148,91
200,149,91
201,150,91
202,151,91
203,152,91
204,153,91
205,154,91
206,155,91
207,156,91
208,157,91
209,158,91
210,159,91
211,160,91
212,161,91
213,162,91
214,163,91
215,164,91
216,165,91
217,166,91
218,167,91
219,168,91
220,169,91
221,170,91
222,171,91
223,172,91
224,173,91
225,174,91
226,175,91
227,176,91
228,177,91
229,178,91
230,179,91
231,180,91
232,181,91
233,182,91
234,183,91
235,184,91
236,185,91
237,186,91
238,187,91
239,188,91
240,189,91
241,190,91
242,191,91
243,192,91
244,193,91
245,194,91
246,195,91
247,196,91
248,197,91
249,198,91
250,199,91
251,200,91
252,201,91
253,202,91
254,203,91
255,204,91
256,205,91
257,206,91
258,207,91
259,208,91
260,209,91
261,210,91
262,211,91
263,212,91
264,213,91
265,214,91
266,215,91
267,216,91
268,217,91
269,218,91
270,219,91
271,220,91
272,221,91
273,222,91
274,223,91
275,224,91
276,225,91
277,226,91
278,227,91
279,228,91
280,229,91
281,230,91
282,231,91
283,232,91
284,233,91
285,234,91
286,235,91
287,236,91
288,237,91
289,238,91
290,239,91
291,240,91
292,241,91
293,242,91
294,243,91
295,244,91
296,243,90
297,243,89
298,243,88
299,242,87
300,242,86
301,241,85
302,241,84
303,240,83
304,240,82
305,239,81
306,239,80
307,238,79
308,238,78
309,237,77
310,237,76
311,236,75
312,235,74
313,234,73
314,234,72
315,233,71
316,232,70
317,231,69
318,230,68
319,229,67
320,228,66
321,227,65
322,226,64
323,225,63
324,224,62
325,223,62
326,222,61
327,221,60
328,220,59
329,219,59
330,218,58
331,217,58
332,216,57
333,215,56
334,214,56
335,213,55
336,212,55
337,211,54
338,210,54
339,209,53
340,208,53
341,207,52
342,206,52
343,205,51
344,204,51
345,203,50
346,202,50
347,201,50
348,200,49
349,199,49
350,198,49
351,197,48
352,196,48
353,195,48
354,194,47
355,193,47
356,192,47
357,191,46
358,190,46
359,189,46
360,188,46
361,187,45
362,186,45
363,185,45
364,184,45
365,183,44
366,182,44
367,181,44
368,180,44
369,179,44
370,178,43
371,177,43
372,176,43
373,175,43
374,174,43
375,173,43
376,172,43
377,171,42
378,170,42
379,169,42
380,168,42
381,167,42
382,166,42
383,165,42
384,164,42
385,163,42
386,162,42
387,161,41
388,160,41
389,159,41
390,158,41
391,157,41
392,156,41
393,155,41
394,154,41
395,153,41
396,152,41
397,151,41
398,150,41
399,149,41
400,148,41
401,147,41
402,146,41
403,145,41
404,144,41
405,143,41
406,142,41
407,141,41
408,140,41
409,139,41
410,138,41
411,137,41
412,136,41
413,135,41
414,134,41
415,133,41
416,132,41
417,131,41
