,x,y
0,215,43
1,214,44
2,213,44
3,212,44
4,211,44
5,210,44
6,209,44
7,208,44
8,207,44
9,206,44
10,205,44
11,204,44
12,203,44
13,202,44
14,201,44
15,200,44
16,199,44
17,198,45
18,197,45
19,196,45
20,195,45
21,194,45
22,193,45
23,192,45
24,191,45
25,190,45
26,189,45
27,188,46
28,187,46
29,186,46
30,185,46
31,184,46
32,183,46
33,182,46
34,181,46
35,180,47
36,179,47
37,178,47
38,177,47
39,176,47
40,175,48
41,174,48
42,173,48
43,172,48
44,171,48
45,170,49
46,169,49
47,168,49
48,167,49
49,166,49
50,165,49
51,164,49
52,163,50
53,162,50
54,161,50
55,160,50
56,159,51
57,158,51
58,157,51
59,156,51
60,155,51
61,154,52
62,153,52
63,152,52
64,151,52
65,150,53
66,149,53
67,148,53
68,147,53
69,146,54
70,145,54
71,144,54
72,143,54
73,142,55
74,141,55
75,140,55
76,139,55
77,138,56
78,137,56
79,136,56
80,135,56
81,134,57
82,133,57
83,132,57
84,131,57
85,130,58
86,129,58
87,128,58
88,127,59
89,126,59
90,125,59
91,124,60
92,123,60
93,122,60
94,121,61
95,120,61
96,119,61
97,118,62
98,117,62
99,116,62
100,115,62
101,114,63
102,113,63
103,112,64
104,111,64
105,110,64
106,109,65
107,108,65
108,107,66
109,106,66
110,105,66
111,104,67
112,103,67
113,102,68
114,101,68
115,100,68
116,99,69
117,98,69
118,97,70
119,96,70
120,95,71
121,94,71
122,93,71
123,92,72
124,91,72
125,90,73
126,89,73
127,88,74
128,87,74
129,86,75
130,85,75
131,84,76
132,83,76
133,82,77
134,81,77
135,80,78
136,79,78
137,78,79
138,77,79
139,76,80
140,75,80
141,74,81
142,73,81
143,72,82
144,71,83
145,70,83
146,69,84
147,68,85
148,67,85
149,66,86
150,65,87
151,64,87
152,63,88
153,62,89
154,61,89
155,60,90
156,59,90
157,58,91
158,57,92
159,56,93
160,55,93
161,54,94
162,53,95
163,52,95
164,51,96
165,50,97
166,49,98
167,48,99
168,47,100
169,46,100
170,45,101
171,44,102
172,43,103
173,42,104
174,41,105
175,40,106
176,39,106
177,38,107
178,37,108
179,36,109
180,35,110
181,34,111
182,33,112
183,32,113
184,31,114
185,30,115
186,29,116
187,29,117
188,28,118
189,27,119
190,26,120
191,25,121
192,24,122
193,24,123
194,23,124
195,22,125
196,21,126
197,20,127
198,20,128
199,19,129
200,18,130
201,17,131
202,17,132
203,16,133
204,16,134
205,15,135
206,14,136
207,13,137
208,13,138
209,12,139
210,12,140
211,11,141
212,11,142
213,10,143
214,9,144
215,9,145
216,8,146
217,8,147
218,7,148
219,7,149
220,7,150
221,6,151
222,6,152
223,5,153
224,4,154
225,3,155
226,2,156
227,1,157
228,0,157
229,0,158
230,0,159
231,0,160
232,0,161
233,0,162
234,0,163
